Timing is on.
=== V1-Q1: Customer-level attribution report for a specific campaign ===
    customer_name     |           contact_info           | booking_date | booking_id |     campaign_name      
 Jennifer Ortiz       | paynelori@example.net            | 2025-09-04   |     369384 | Romantic Paris Getaway
 Michael Cummings     | daniellewarren@example.org       | 2025-09-04   |     195206 | Romantic Paris Getaway
 Michael Greer        | maryberry@example.com            | 2025-09-04   |      34184 | Romantic Paris Getaway
 Robert Gordon        | dwolfe@example.com               | 2025-09-04   |       3168 | Romantic Paris Getaway
 Sarah Griffin        | parkerpeter@example.org          | 2025-09-04   |     354286 | Romantic Paris Getaway
 Shari Peters         | gbush@example.com                | 2025-09-04   |       7443 | Romantic Paris Getaway
 Traci Anderson       | carrie78@example.com             | 2025-09-04   |     219770 | Romantic Paris Getaway
 Travis Weiss         | hmartin@example.com              | 2025-09-04   |     331865 | Romantic Paris Getaway
 Tyler Faulkner       | qdavis@example.org               | 2025-09-04   |     366110 | Romantic Paris Getaway
 Valerie Perez        | amyvalenzuela@example.net        | 2025-09-04   |     162418 | Romantic Paris Getaway
 Amanda Scott         | hickskyle@example.com            | 2025-09-03   |     170809 | Romantic Paris Getaway
 Brian Bell           | deborah99@example.net            | 2025-09-03   |     283199 | Romantic Paris Getaway
 Christopher Fowler   | dillonamber@example.com          | 2025-09-03   |     196247 | Romantic Paris Getaway
 Denise Murray        | cbrown@example.com               | 2025-09-03   |     154451 | Romantic Paris Getaway
 John Smith           | phuang@example.com               | 2025-09-03   |     131297 | Romantic Paris Getaway
 Juan Rice            | stephenhowe@example.net          | 2025-09-03   |      10373 | Romantic Paris Getaway
 Julia Alvarez        | ohunter@example.com              | 2025-09-03   |     290058 | Romantic Paris Getaway
 Keith Sharp          | lnelson@example.com              | 2025-09-03   |     285815 | Romantic Paris Getaway
 Kimberly Brown       | karencraig@example.net           | 2025-09-03   |     295116 | Romantic Paris Getaway
 Kyle Hill            | parkerpatrick@example.net        | 2025-09-03   |     347384 | Romantic Paris Getaway
 Mr. Johnathan Reynol | knappkari@example.org            | 2025-09-03   |      50968 | Romantic Paris Getaway
 Paige Williams       | tanyacruz@example.com            | 2025-09-03   |     280891 | Romantic Paris Getaway
 Thomas Williams      | sharonnorris@example.com         | 2025-09-03   |     380843 | Romantic Paris Getaway
 Tina Fisher          | tguerrero@example.com            | 2025-09-03   |     145139 | Romantic Paris Getaway
 Alexander Moore      | davidbaker@example.net           | 2025-09-02   |      83825 | Romantic Paris Getaway
 Charles Willis       | lisa39@example.net               | 2025-09-02   |     166227 | Romantic Paris Getaway
 David Jones          | murrayvictor@example.net         | 2025-09-02   |      29185 | Romantic Paris Getaway
 Donald Lyons         | carolynhuynh@example.net         | 2025-09-02   |      71750 | Romantic Paris Getaway
 James Blair          | melissa50@example.com            | 2025-09-02   |     234328 | Romantic Paris Getaway
 Jerry Golden         | adean@example.com                | 2025-09-02   |      96529 | Romantic Paris Getaway
 Joshua Holmes        | olsenjason@example.net           | 2025-09-02   |     199701 | Romantic Paris Getaway
 Kirk Clark DDS       | joseph21@example.net             | 2025-09-02   |      46758 | Romantic Paris Getaway
 Linda Jenkins        | micheleholloway@example.com      | 2025-09-02   |     233483 | Romantic Paris Getaway
 Samantha Trujillo MD | haroldanderson@example.net       | 2025-09-02   |     338465 | Romantic Paris Getaway
 Sarah Ali            | gabrielletorres@example.com      | 2025-09-02   |     193858 | Romantic Paris Getaway
 Anthony Little       | andrew36@example.org             | 2025-09-01   |     101016 | Romantic Paris Getaway
 Brian Andrews        | jose69@example.org               | 2025-09-01   |     345824 | Romantic Paris Getaway
 Cheyenne Christensen | barbara28@example.com            | 2025-09-01   |     223977 | Romantic Paris Getaway
 Christina Burke      | ywebb@example.com                | 2025-09-01   |     158972 | Romantic Paris Getaway
 Corey Mathis         | raymondgutierrez@example.net     | 2025-09-01   |     179845 | Romantic Paris Getaway
 David Thompson       | alecdonovan@example.net          | 2025-09-01   |     289927 | Romantic Paris Getaway
 Jim Armstrong        | uraymond@example.net             | 2025-09-01   |     216504 | Romantic Paris Getaway
 Nicholas Hill        | ggomez@example.org               | 2025-09-01   |     245599 | Romantic Paris Getaway
 Robert Johnson       | fernandezjames@example.com       | 2025-09-01   |     357421 | Romantic Paris Getaway
 Ronald Pitts         | xwatson@example.com              | 2025-09-01   |     188778 | Romantic Paris Getaway
 Sierra Velasquez     | rlyons@example.org               | 2025-09-01   |     335423 | Romantic Paris Getaway
 Alan Salazar         | lisa82@example.com               | 2025-08-31   |     147337 | Romantic Paris Getaway
 Bradley Knox         | xdavis@example.org               | 2025-08-31   |     253636 | Romantic Paris Getaway
 Elaine Bailey        | stacymartinez@example.org        | 2025-08-31   |      43609 | Romantic Paris Getaway
 Eric Thomas          | plambert@example.com             | 2025-08-31   |     323756 | Romantic Paris Getaway
 Jason Schneider      | brandon27@example.org            | 2025-08-31   |     103139 | Romantic Paris Getaway
 Joseph Salas         | delgadoheather@example.org       | 2025-08-31   |     143855 | Romantic Paris Getaway
 Kristen Woodard      | egallagher@example.org           | 2025-08-31   |     330458 | Romantic Paris Getaway
 Patrick Ramirez      | tmendoza@example.org             | 2025-08-31   |      12755 | Romantic Paris Getaway
 Timothy Curry        | neilhughes@example.net           | 2025-08-31   |     285232 | Romantic Paris Getaway
 Andrew King          | latashaporter@example.com        | 2025-08-30   |     395304 | Romantic Paris Getaway
 Christina Cortez     | marcus78@example.com             | 2025-08-30   |     197203 | Romantic Paris Getaway
 Cindy Burgess        | james75@example.com              | 2025-08-30   |     226808 | Romantic Paris Getaway
 David Thomas         | andersonjackson@example.net      | 2025-08-30   |     192096 | Romantic Paris Getaway
 Donna Allen          | emacdonald@example.com           | 2025-08-30   |     211660 | Romantic Paris Getaway
 Henry Jackson        | trevor19@example.org             | 2025-08-30   |     173342 | Romantic Paris Getaway
 Jessica Lamb         | melissacrosby@example.com        | 2025-08-30   |     105973 | Romantic Paris Getaway
 Kathleen Willis      | andrewsmary@example.net          | 2025-08-30   |     315772 | Romantic Paris Getaway
 Lauren Torres        | boonekelly@example.net           | 2025-08-30   |     198685 | Romantic Paris Getaway
 Logan Hoffman        | xwalker@example.net              | 2025-08-30   |     101513 | Romantic Paris Getaway
 Sandra Brown         | qanderson@example.net            | 2025-08-30   |     121868 | Romantic Paris Getaway
 Bryan Thomas         | molly86@example.com              | 2025-08-29   |     227002 | Romantic Paris Getaway
 David Hernandez      | bellrobert@example.com           | 2025-08-29   |     305887 | Romantic Paris Getaway
 Elizabeth Allen      | tthompson@example.com            | 2025-08-29   |     263355 | Romantic Paris Getaway
 Ian Ramsey           | susanschmitt@example.org         | 2025-08-29   |     187501 | Romantic Paris Getaway
 John Silva           | maryholland@example.com          | 2025-08-29   |     398799 | Romantic Paris Getaway
 Justin Marquez       | monica72@example.org             | 2025-08-29   |      60293 | Romantic Paris Getaway
 Leslie Salinas PhD   | schroederann@example.org         | 2025-08-29   |     379144 | Romantic Paris Getaway
 Matthew Garcia       | tammystone@example.com           | 2025-08-29   |     366924 | Romantic Paris Getaway
 Matthew Young        | nmartin@example.org              | 2025-08-29   |     388671 | Romantic Paris Getaway
 Nicholas Lawson      | gonzalezwayne@example.com        | 2025-08-29   |     173743 | Romantic Paris Getaway
 Roy Bell             | janderson@example.com            | 2025-08-29   |     284446 | Romantic Paris Getaway
 Sara Bryant          | hmartin@example.net              | 2025-08-29   |     388761 | Romantic Paris Getaway
 Timothy Nelson       | jeremiahmartinez@example.org     | 2025-08-29   |       9031 | Romantic Paris Getaway
 Ashley Hendrix       | deanna60@example.org             | 2025-08-28   |     204651 | Romantic Paris Getaway
 Ashley Robles        | jonespenny@example.com           | 2025-08-28   |     126017 | Romantic Paris Getaway
 Elizabeth David      | keith50@example.org              | 2025-08-28   |     180324 | Romantic Paris Getaway
 Elizabeth Dixon      | richard22@example.org            | 2025-08-28   |     385224 | Romantic Paris Getaway
 Emily Lopez          | mwashington@example.net          | 2025-08-28   |     136328 | Romantic Paris Getaway
 Erika Wade           | brockaaron@example.org           | 2025-08-28   |     145334 | Romantic Paris Getaway
 Jacob Giles          | deleonsteven@example.com         | 2025-08-28   |     281087 | Romantic Paris Getaway
 Jessica Clark        | maria10@example.com              | 2025-08-28   |     180567 | Romantic Paris Getaway
 Joy Harris           | jhayden@example.org              | 2025-08-28   |     262117 | Romantic Paris Getaway
 Justin Roberts       | tholmes@example.net              | 2025-08-28   |     399407 | Romantic Paris Getaway
 Nathan Miller        | carrollcatherine@example.com     | 2025-08-28   |     197288 | Romantic Paris Getaway
 Nicole Martinez      | claudiagolden@example.com        | 2025-08-28   |     387332 | Romantic Paris Getaway
 Theresa Johnson      | teresabrown@example.com          | 2025-08-28   |     194719 | Romantic Paris Getaway
 Timothy Freeman      | lawrencemichael@example.com      | 2025-08-28   |     313509 | Romantic Paris Getaway
 Tristan Holloway     | allisonjeremiah@example.net      | 2025-08-28   |     198964 | Romantic Paris Getaway
 Autumn Mckee         | lshaffer@example.org             | 2025-08-27   |     279578 | Romantic Paris Getaway
 Brandi Harper        | lindamoody@example.com           | 2025-08-27   |      51074 | Romantic Paris Getaway
 Briana Suarez        | beth69@example.net               | 2025-08-27   |     383554 | Romantic Paris Getaway
 Cody Long            | vsilva@example.net               | 2025-08-27   |      31940 | Romantic Paris Getaway
 Cory Lewis           | nguyenamy@example.com            | 2025-08-27   |     354125 | Romantic Paris Getaway
 Jennifer Thomas      | danieldaniel@example.com         | 2025-08-27   |     396544 | Romantic Paris Getaway
 John Brown           | mcurtis@example.com              | 2025-08-27   |      76272 | Romantic Paris Getaway
 Jordan Griffith      | kylegreen@example.com            | 2025-08-27   |     369888 | Romantic Paris Getaway
 Julian King          | chaneyroy@example.com            | 2025-08-27   |     147260 | Romantic Paris Getaway
 Kelly Simpson        | hestrada@example.org             | 2025-08-27   |      18774 | Romantic Paris Getaway
 Michael Fernandez    | ogarner@example.org              | 2025-08-27   |      25361 | Romantic Paris Getaway
 Timothy Cortez       | joshua15@example.org             | 2025-08-27   |      26646 | Romantic Paris Getaway
 Todd Noble           | burtonkatherine@example.org      | 2025-08-27   |     304006 | Romantic Paris Getaway
 Victor Jenkins       | rita94@example.com               | 2025-08-27   |      88605 | Romantic Paris Getaway
 Allison Burke        | swashington@example.org          | 2025-08-26   |     314206 | Romantic Paris Getaway
 Angela Thompson      | jillian85@example.org            | 2025-08-26   |     335406 | Romantic Paris Getaway
 Antonio Shaffer      | joseguzman@example.org           | 2025-08-26   |     258288 | Romantic Paris Getaway
 Ashley Kline         | washingtonkelly@example.com      | 2025-08-26   |     188416 | Romantic Paris Getaway
 Christian Young      | james19@example.net              | 2025-08-26   |      20560 | Romantic Paris Getaway
 Ebony Adkins         | pottercory@example.com           | 2025-08-26   |      55943 | Romantic Paris Getaway
 Erin Velasquez       | danielharris@example.net         | 2025-08-26   |     243542 | Romantic Paris Getaway
 Jordan Keith         | april85@example.net              | 2025-08-26   |     359600 | Romantic Paris Getaway
 Mr. Christopher Jord | joanna63@example.com             | 2025-08-26   |     204208 | Romantic Paris Getaway
 Peggy Sims           | juan90@example.net               | 2025-08-26   |      35329 | Romantic Paris Getaway
 Richard Brown        | cprince@example.org              | 2025-08-26   |     336195 | Romantic Paris Getaway
 Sarah Macdonald      | tsmith@example.com               | 2025-08-26   |     277081 | Romantic Paris Getaway
 Theresa Watkins DDS  | hernandezthomas@example.net      | 2025-08-26   |     315596 | Romantic Paris Getaway
 William Jones        | pattersonamber@example.com       | 2025-08-26   |     177774 | Romantic Paris Getaway
 Alicia Thomas        | jason67@example.org              | 2025-08-25   |     301514 | Romantic Paris Getaway
 Caitlin Mason        | evelyn13@example.org             | 2025-08-25   |     351656 | Romantic Paris Getaway
 Joseph Patterson     | stanleyhaley@example.net         | 2025-08-25   |      78603 | Romantic Paris Getaway
 Rick Nunez           | warrensabrina@example.net        | 2025-08-25   |      90774 | Romantic Paris Getaway
 Ricky Black          | jasmine50@example.net            | 2025-08-25   |     255501 | Romantic Paris Getaway
 Scott Gay            | nathan53@example.net             | 2025-08-25   |      98834 | Romantic Paris Getaway
 Sean Jones           | georgeharris@example.org         | 2025-08-25   |     102757 | Romantic Paris Getaway
 Thomas Rice          | haleronald@example.org           | 2025-08-25   |     281132 | Romantic Paris Getaway
 Amber Estrada        | fsantos@example.org              | 2025-08-24   |     231224 | Romantic Paris Getaway
 Brandon Carter       | davidsonthomas@example.org       | 2025-08-24   |     174075 | Romantic Paris Getaway
 Brandon Morris       | nmoreno@example.com              | 2025-08-24   |     174027 | Romantic Paris Getaway
 Calvin Ross          | kmorgan@example.org              | 2025-08-24   |     207422 | Romantic Paris Getaway
 Elizabeth Williams   | tabithasmith@example.org         | 2025-08-24   |     176935 | Romantic Paris Getaway
 Heather Cruz         | rjordan@example.net              | 2025-08-24   |     383001 | Romantic Paris Getaway
 Julie Burton         | kimberly75@example.net           | 2025-08-24   |      89216 | Romantic Paris Getaway
 Kristen Smith        | kimberlystafford@example.com     | 2025-08-24   |      33911 | Romantic Paris Getaway
 Matthew Fields       | jacquelinewallace@example.net    | 2025-08-24   |      87794 | Romantic Paris Getaway
 Phyllis Edwards      | patrick52@example.net            | 2025-08-24   |     124451 | Romantic Paris Getaway
 Ronnie Lin           | joshuawhite@example.com          | 2025-08-24   |       1356 | Romantic Paris Getaway
 Shannon Diaz         | hansonjacob@example.org          | 2025-08-24   |     228225 | Romantic Paris Getaway
 Teresa Silva         | carneyashley@example.net         | 2025-08-24   |      41578 | Romantic Paris Getaway
 Anthony Ross         | joshua00@example.org             | 2025-08-23   |     196115 | Romantic Paris Getaway
 Carrie Bryant        | taylorkatherine@example.com      | 2025-08-23   |     176689 | Romantic Paris Getaway
 Dawn Washington      | qwilliams@example.org            | 2025-08-23   |      79799 | Romantic Paris Getaway
 Jason Riddle         | fmiddleton@example.org           | 2025-08-23   |     256369 | Romantic Paris Getaway
 Jeffrey Brown        | lozanojason@example.com          | 2025-08-23   |     155611 | Romantic Paris Getaway
 Jose Burgess         | zcollins@example.org             | 2025-08-23   |     310090 | Romantic Paris Getaway
 Mrs. Rachel Hall DVM | jeremylewis@example.net          | 2025-08-23   |     111792 | Romantic Paris Getaway
 Pamela Richard       | rogersjoseph@example.org         | 2025-08-23   |     143932 | Romantic Paris Getaway
 Tiffany Petty        | joel92@example.com               | 2025-08-23   |     386796 | Romantic Paris Getaway
 Whitney Nichols      | thomasamy@example.com            | 2025-08-23   |      48480 | Romantic Paris Getaway
 Allison Taylor       | lorimartinez@example.com         | 2025-08-22   |     321229 | Romantic Paris Getaway
 Amy Benton           | wpatterson@example.com           | 2025-08-22   |     309001 | Romantic Paris Getaway
 Ashley George        | awallace@example.org             | 2025-08-22   |     154544 | Romantic Paris Getaway
 Charles Clark        | matthewporter@example.net        | 2025-08-22   |     312420 | Romantic Paris Getaway
 Christopher Esparza  | zacharyjohnson@example.com       | 2025-08-22   |      63638 | Romantic Paris Getaway
 Greg Vaughan         | bateskevin@example.net           | 2025-08-22   |      65172 | Romantic Paris Getaway
 Holly Hernandez      | alexandrareyes@example.org       | 2025-08-22   |     308028 | Romantic Paris Getaway
 James Lewis          | yolandasmith@example.com         | 2025-08-22   |     140305 | Romantic Paris Getaway
 Jonathon Nash        | stacy27@example.org              | 2025-08-22   |      17629 | Romantic Paris Getaway
 Mr. Manuel Ward      | tinamartin@example.com           | 2025-08-22   |      29078 | Romantic Paris Getaway
 Ricardo Miller       | april79@example.net              | 2025-08-22   |     246442 | Romantic Paris Getaway
 Sarah Wells          | ramirezchristopher@example.com   | 2025-08-22   |     270460 | Romantic Paris Getaway
 Victoria Wagner      | martinezjustin@example.net       | 2025-08-22   |     183549 | Romantic Paris Getaway
 Andrea Taylor        | vegabrandon@example.net          | 2025-08-21   |     159152 | Romantic Paris Getaway
 Brooke Bruce         | gcampbell@example.org            | 2025-08-21   |     301131 | Romantic Paris Getaway
 Caitlin Ford MD      | wudebra@example.net              | 2025-08-21   |     278039 | Romantic Paris Getaway
 Catherine Warner     | brussell@example.com             | 2025-08-21   |     236441 | Romantic Paris Getaway
 Erica Miller         | owenkaitlin@example.com          | 2025-08-21   |     342896 | Romantic Paris Getaway
 Heather Davenport    | lisawilliams@example.com         | 2025-08-21   |     210430 | Romantic Paris Getaway
 Jeffery Jones        | melissafreeman@example.net       | 2025-08-21   |      39867 | Romantic Paris Getaway
 Michelle Williams    | sandra21@example.org             | 2025-08-21   |      83967 | Romantic Paris Getaway
 Rhonda Payne         | sabrina75@example.com            | 2025-08-21   |     298774 | Romantic Paris Getaway
 Brenda Morgan        | xcooke@example.org               | 2025-08-20   |     257850 | Romantic Paris Getaway
 George Weiss         | barbara82@example.com            | 2025-08-20   |     258769 | Romantic Paris Getaway
 James Lopez          | jessicacoleman@example.org       | 2025-08-20   |      94100 | Romantic Paris Getaway
 Jodi Calderon        | smithdouglas@example.net         | 2025-08-20   |     282056 | Romantic Paris Getaway
 Judy Griffin         | ayersterri@example.net           | 2025-08-20   |       2936 | Romantic Paris Getaway
 Kevin Nunez          | jharper@example.org              | 2025-08-20   |      74784 | Romantic Paris Getaway
 Michelle Boone       | andrealong@example.com           | 2025-08-20   |      16738 | Romantic Paris Getaway
 Veronica Chang       | ykelly@example.org               | 2025-08-20   |     123355 | Romantic Paris Getaway
 Daniel Morgan        | ryan23@example.org               | 2025-08-19   |     371131 | Romantic Paris Getaway
 Donna Parker         | molinajared@example.net          | 2025-08-19   |     239017 | Romantic Paris Getaway
 Jamie Kline          | amcdowell@example.org            | 2025-08-19   |     158398 | Romantic Paris Getaway
 Jason Villanueva     | lcooper@example.com              | 2025-08-19   |      11652 | Romantic Paris Getaway
 Johnny Rasmussen     | stephen75@example.org            | 2025-08-19   |     358963 | Romantic Paris Getaway
 Linda Mason          | timothy66@example.net            | 2025-08-19   |      96292 | Romantic Paris Getaway
 Lisa Wise            | ocarey@example.org               | 2025-08-19   |     395929 | Romantic Paris Getaway
 Marie Hunter         | nwilkinson@example.com           | 2025-08-19   |      66094 | Romantic Paris Getaway
 Mark Fischer         | patrickrivera@example.net        | 2025-08-19   |     165581 | Romantic Paris Getaway
 Marvin Nelson        | tracygross@example.com           | 2025-08-19   |     107753 | Romantic Paris Getaway
 Pamela Gordon        | gerald46@example.net             | 2025-08-19   |     291958 | Romantic Paris Getaway
 Philip Hardy         | edwardvaldez@example.com         | 2025-08-19   |     341705 | Romantic Paris Getaway
 Sarah Wright         | angelasantiago@example.org       | 2025-08-19   |     326680 | Romantic Paris Getaway
 Thomas Brown         | smithdavid@example.net           | 2025-08-19   |      78920 | Romantic Paris Getaway
 Abigail Rodriguez    | kenneth44@example.org            | 2025-08-18   |     223682 | Romantic Paris Getaway
 Cassandra Lee        | blawrence@example.com            | 2025-08-18   |     237636 | Romantic Paris Getaway
 Christina Ray        | taylorscott@example.net          | 2025-08-18   |     117633 | Romantic Paris Getaway
 Donald Payne         | acollins@example.org             | 2025-08-18   |     177091 | Romantic Paris Getaway
 Donald Price         | sarah27@example.org              | 2025-08-18   |     358920 | Romantic Paris Getaway
 John Gross MD        | ashleyrodriguez@example.org      | 2025-08-18   |     133828 | Romantic Paris Getaway
 Judith Hall          | juliadavenport@example.com       | 2025-08-18   |     194231 | Romantic Paris Getaway
 Wesley Garcia        | cprice@example.com               | 2025-08-18   |     203872 | Romantic Paris Getaway
 Brian Lawson         | cynthia50@example.org            | 2025-08-17   |     291538 | Romantic Paris Getaway
 Carl Mills           | sanderseric@example.com          | 2025-08-17   |     396849 | Romantic Paris Getaway
 David Vazquez        | martinezjennifer@example.com     | 2025-08-17   |     296848 | Romantic Paris Getaway
 Gina Crawford        | curryfrederick@example.net       | 2025-08-17   |     192937 | Romantic Paris Getaway
 John Mason           | catherine28@example.net          | 2025-08-17   |     116654 | Romantic Paris Getaway
 Joshua Melton        | robinsonkelly@example.net        | 2025-08-17   |     377237 | Romantic Paris Getaway
 Madison Johnston     | agibbs@example.net               | 2025-08-17   |     201064 | Romantic Paris Getaway
 Mark Perry           | jessica84@example.com            | 2025-08-17   |     102899 | Romantic Paris Getaway
 Thomas Thomas        | julie62@example.com              | 2025-08-17   |     247987 | Romantic Paris Getaway
 Alexander Nicholson  | huntervanessa@example.com        | 2025-08-16   |     366676 | Romantic Paris Getaway
 Elizabeth Taylor     | adrienne16@example.net           | 2025-08-16   |     361609 | Romantic Paris Getaway
 Ian James            | nicolehood@example.org           | 2025-08-16   |     366330 | Romantic Paris Getaway
 James Powers         | ewillis@example.org              | 2025-08-16   |      35451 | Romantic Paris Getaway
 Jason Hall           | selena31@example.com             | 2025-08-16   |     236281 | Romantic Paris Getaway
 John Hurst           | desiree52@example.net            | 2025-08-16   |     295778 | Romantic Paris Getaway
 John Watson          | anthony99@example.org            | 2025-08-16   |     185497 | Romantic Paris Getaway
 Kimberly Sandoval    | davidsongary@example.net         | 2025-08-16   |     102944 | Romantic Paris Getaway
 Kimberly Turner      | fhudson@example.com              | 2025-08-16   |     264306 | Romantic Paris Getaway
 Lauren Mendez        | melissa61@example.com            | 2025-08-16   |     153688 | Romantic Paris Getaway
 Monica Jackson       | christopher93@example.com        | 2025-08-16   |     155515 | Romantic Paris Getaway
 Nicole Tate          | tallison@example.org             | 2025-08-16   |     375599 | Romantic Paris Getaway
 Suzanne Mullins      | shane27@example.com              | 2025-08-16   |     221816 | Romantic Paris Getaway
